order_id,order_datetime,customer_id,product_id,quantity,selling_price,discount_percent,gross_amount,discount_amount,net_amount,product_cost,shipping_cost,payment_fee,profit,order_status,profit_margin,profit_status,discount_category
O00012,2026-05-21 01:53:17,C0030,P050,3,35590.05,0,106770.15,0.0,106770.15,83191.29,61.87,1871.6,21645.39,Completed,20.27,Profit,No Discount
O00013,2026-07-24 14:02:57,C0096,P047,1,24905.73,5,24905.73,1245.29,23660.44,18759.81,387.31,422.57,4090.75,Completed,17.29,Profit,Low Discount
O00014,2026-06-28 02:32:51,C0049,P013,1,48575.8,10,48575.8,4857.58,43718.22,33508.29,236.67,676.24,9297.02,Completed,21.27,Profit,Medium Discount
O00015,2026-05-16 22:24:03,C0006,P028,1,23427.95,10,23427.95,2342.8,21085.16,18608.79,387.46,595.94,1492.96,Completed,7.08,Profit,Medium Discount
O00016,2026-07-06 05:57:43,C0053,P037,2,5368.01,15,10736.02,1610.4,9125.62,8780.34,161.31,173.49,10.48,Completed,0.11,Profit,Medium Discount
O00017,2026-08-14 15:12:23,C0051,P045,5,62341.11,5,311705.55,15585.28,296120.27,232151.3,445.2,7444.46,56079.31,Completed,18.94,Profit,Low Discount
O00018,2026-08-03 01:45:59,C0095,P008,2,21730.36,10,43460.72,4346.07,39114.65,32802.9,264.29,1041.52,5005.94,Completed,12.8,Profit,Medium Discount
O00019,2026-07-08 01:08:38,C0065,P044,5,14190.49,0,70952.45,0.0,70952.45,45100.55,406.32,1546.7,23898.88,Completed,33.68,Profit,No Discount
O00020,2026-07-22 10:57:11,C0023,P015,5,52959.23,10,264796.15,26479.62,238316.54,192970.85,366.84,3398.22,41580.63,Completed,17.45,Profit,Medium Discount
O00021,2026-07-25 14:51:12,C0098,P038,2,7609.77,10,15219.54,1521.95,13697.59,10506.56,226.51,256.82,2707.7,Cancelled,19.77,Profit,Medium Discount
O00022,2026-07-27 19:19:44,C0052,P038,1,7609.77,15,7609.77,1141.47,6468.3,5253.28,228.44,145.16,841.42,Completed,13.01,Profit,Medium Discount
O00023,2026-07-27 07:52:56,C0005,P029,4,44167.07,10,176668.28,17666.83,159001.45,126999.12,428.94,4035.2,27538.19,Completed,17.32,Profit,Medium Discount
O00024,2026-07-20 21:08:15,C0069,P034,5,38663.96,5,193319.8,9665.99,183653.81,139245.0,144.11,3965.64,40299.06,Completed,21.94,Profit,Low Discount
O00025,2026-06-04 21:35:06,C0023,P016,3,6487.76,0,19463.28,0.0,19463.28,16718.97,338.39,265.43,2140.49,Completed,11.0,Profit,No Discount
O00026,2026-06-21 03:09:27,C0067,P032,3,39676.81,10,119030.43,11903.04,107127.39,77952.06,487.9,2360.95,26326.48,Completed,24.57,Profit,Medium Discount
O00027,2026-06-27 15:27:20,C0021,P005,2,57603.46,5,115206.92,5760.35,109446.57,90968.32,129.65,1288.63,17059.97,Completed,15.59,Profit,Low Discount
O00028,2026-05-23 13:30:38,C0012,P026,2,3524.72,0,7049.44,0.0,7049.44,5527.28,198.54,115.83,1207.79,Completed,17.13,Profit,No Discount
O00029,2026-07-20 06:14:45,C0047,P022,3,753.69,20,2261.07,452.21,1808.86,1638.66,77.49,28.11,64.6,Completed,3.57,Profit,High Discount
O00030,2026-08-14 04:00:41,C0099,P015,2,52959.23,15,105918.46,15887.77,90030.69,77188.34,289.07,2197.68,10355.6,Completed,11.5,Profit,Medium Discount
O00031,2026-06-17 19:52:54,C0059,P007,3,63520.31,20,190560.93,38112.19,152448.74,134287.2,280.25,3146.89,14734.4,Completed,9.67,Profit,High Discount
O00032,2026-07-16 06:31:02,C0038,P035,3,54528.17,5,163584.51,8179.23,155405.28,132465.87,171.16,2726.69,20041.56,Completed,12.9,Profit,Low Discount
O00033,2026-06-16 05:56:11,C0057,P017,2,42246.44,10,84492.88,8449.29,76043.59,69673.4,154.95,1281.98,4933.26,Completed,6.49,Profit,Medium Discount
O00034,2026-07-20 04:15:53,C0010,P003,1,10250.36,10,10250.36,1025.04,9225.32,8692.1,89.11,191.35,252.76,Completed,2.74,Profit,Medium Discount
O00035,2026-08-07 02:28:43,C0008,P040,1,30510.63,10,30510.63,3051.06,27459.57,24795.91,220.45,459.92,1983.29,Cancelled,7.22,Profit,Medium Discount
O00036,2026-05-28 20:51:28,C0064,P034,3,38663.96,5,115991.88,5799.59,110192.29,83547.0,493.93,2436.96,23714.4,Completed,21.52,Profit,Low Discount
O00037,2026-07-25 15:36:32,C0022,P021,4,57718.84,20,230875.36,46175.07,184700.29,181440.24,89.55,4823.87,-1653.37,Completed,-0.9,Loss,High Discount
O00038,2026-08-12 03:43:16,C0009,P003,3,10250.36,0,30751.08,0.0,30751.08,26076.3,363.63,920.84,3390.31,Cancelled,11.03,Profit,No Discount
O00039,2026-06-14 22:15:41,C0084,P028,3,23427.95,20,70283.85,14056.77,56227.08,55826.37,417.68,852.29,-869.26,Completed,-1.55,Loss,High Discount
O00040,2026-07-05 00:08:27,C0051,P002,3,36560.51,10,109681.53,10968.15,98713.38,77426.64,175.99,2506.32,18604.43,Completed,18.85,Profit,Medium Discount
O00041,2026-06-15 19:08:43,C0068,P019,4,58038.98,10,232155.92,23215.59,208940.33,161777.56,159.08,2569.28,44434.41,Completed,21.27,Profit,Medium Discount
O00042,2026-07-20 12:25:59,C0064,P038,5,7609.77,10,38048.85,3804.89,34243.97,26266.4,469.41,562.04,6946.12,Completed,20.28,Profit,Medium Discount
O00043,2026-06-25 10:05:04,C0006,P050,2,35590.05,10,71180.1,7118.01,64062.09,55460.86,297.01,899.09,7405.13,Completed,11.56,Profit,Medium Discount
O00044,2026-06-17 10:31:16,C0084,P001,5,27812.76,0,139063.8,0.0,139063.8,108554.3,102.51,2706.64,27700.35,Completed,19.92,Profit,No Discount
O00045,2026-06-24 20:07:15,C0035,P030,1,3158.31,20,3158.31,631.66,2526.65,2230.6,385.69,45.91,-135.55,Cancelled,-5.36,Loss,High Discount
O00046,2026-07-23 11:04:24,C0075,P009,2,19784.64,0,39569.28,0.0,39569.28,28381.08,79.92,982.21,10126.07,Completed,25.59,Profit,No Discount
O00047,2026-06-14 11:23:11,C0064,P029,3,44167.07,15,132501.21,19875.18,112626.03,95249.34,140.73,1494.9,15741.06,Completed,13.98,Profit,Medium Discount
O00048,2026-07-09 14:20:04,C0005,P019,3,58038.98,10,174116.94,17411.69,156705.25,121333.17,458.54,2558.05,32355.49,Completed,20.65,Profit,Medium Discount
O00049,2026-05-29 03:03:43,C0018,P040,3,30510.63,10,91531.89,9153.19,82378.7,74387.73,292.9,1546.65,6151.42,Completed,7.47,Profit,Medium Discount
O00050,2026-06-04 09:28:47,C0017,P033,2,39743.89,10,79487.78,7948.78,71539.0,54328.22,457.91,1608.54,15144.33,Completed,21.17,Profit,Medium Discount
O00051,2026-06-26 14:10:15,C0006,P003,3,10250.36,5,30751.08,1537.55,29213.53,26076.3,112.67,756.06,2268.5,Completed,7.77,Profit,Low Discount
O00052,2026-07-20 07:51:28,C0094,P039,3,35994.24,15,107982.72,16197.41,91785.31,67594.56,118.25,1490.08,22582.42,Completed,24.6,Profit,Medium Discount
O00053,2026-06-22 13:55:57,C0055,P033,4,39743.89,10,158975.56,15897.56,143078.0,108656.44,393.11,3939.7,30088.75,Completed,21.03,Profit,Medium Discount
O00054,2026-07-21 12:43:30,C0038,P013,4,48575.8,10,194303.2,19430.32,174872.88,134033.16,321.78,3505.46,37012.48,Completed,21.17,Profit,Medium Discount
O00055,2026-07-28 09:44:23,C0029,P047,4,24905.73,15,99622.92,14943.44,84679.48,75039.24,374.02,1932.64,7333.58,Completed,8.66,Profit,Medium Discount
O00056,2026-08-12 10:08:57,C0036,P026,3,3524.72,10,10574.16,1057.42,9516.74,8290.92,422.06,277.71,526.05,Completed,5.53,Profit,Medium Discount
O00057,2026-06-02 15:58:23,C0006,P008,2,21730.36,20,43460.72,8692.14,34768.58,32802.9,119.01,755.33,1091.34,Completed,3.14,Profit,High Discount
O00058,2026-07-15 12:42:49,C0089,P033,4,39743.89,10,158975.56,15897.56,143078.0,108656.44,96.0,4059.84,30265.72,Completed,21.15,Profit,Medium Discount
O00059,2026-07-11 00:34:16,C0037,P008,2,21730.36,15,43460.72,6519.11,36941.61,32802.9,218.5,420.34,3499.87,Completed,9.47,Profit,Medium Discount
O00060,2026-06-14 23:43:26,C0078,P040,1,30510.63,20,30510.63,6102.13,24408.5,24795.91,252.88,299.36,-939.65,Pending,-3.85,Loss,High Discount
O00061,2026-06-25 04:41:01,C0036,P023,1,17155.13,5,17155.13,857.76,16297.37,13616.73,190.15,237.09,2253.4,Completed,13.83,Profit,Low Discount
O00062,2026-07-08 23:14:46,C0047,P009,5,19784.64,5,98923.2,4946.16,93977.04,70952.7,411.28,948.48,21664.58,Completed,23.05,Profit,Low Discount
O00063,2026-08-05 17:10:49,C0063,P025,2,12111.87,20,24223.74,4844.75,19378.99,15149.46,205.86,328.26,3695.41,Completed,19.07,Profit,High Discount
O00064,2026-05-16 19:24:21,C0017,P043,3,16032.71,10,48098.13,4809.81,43288.32,34989.69,113.39,585.59,7599.65,Completed,17.56,Profit,Medium Discount
O00065,2026-06-15 06:32:23,C0070,P024,1,4338.48,5,4338.48,216.92,4121.56,3431.63,311.26,93.33,285.34,Completed,6.92,Profit,Low Discount
O00066,2026-06-13 15:01:02,C0085,P049,1,24913.36,25,24913.36,6228.34,18685.02,16263.03,116.9,341.8,1963.29,Completed,10.51,Profit,High Discount
O00067,2026-06-06 04:13:16,C0061,P040,1,30510.63,5,30510.63,1525.53,28985.1,24795.91,189.47,520.18,3479.54,Completed,12.0,Profit,Low Discount
O00068,2026-06-27 12:10:19,C0056,P019,5,58038.98,10,290194.9,29019.49,261175.41,202221.95,219.98,6981.56,51751.92,Completed,19.82,Profit,Medium Discount
O00069,2026-08-01 01:24:38,C0001,P014,3,9054.92,10,27164.76,2716.48,24448.28,18467.37,285.98,460.0,5234.93,Completed,21.41,Profit,Medium Discount
O00070,2026-07-12 01:55:20,C0038,P004,1,1247.78,5,1247.78,62.39,1185.39,995.12,83.98,29.71,76.58,Completed,6.46,Profit,Low Discount
O00071,2026-07-14 16:05:02,C0083,P046,2,19668.85,10,39337.7,3933.77,35403.93,29727.1,61.42,464.61,5150.8,Completed,14.55,Profit,Medium Discount
O00072,2026-07-19 08:02:04,C0093,P008,1,21730.36,10,21730.36,2173.04,19557.32,16401.45,164.25,272.28,2719.34,Completed,13.9,Profit,Medium Discount
O00073,2026-06-17 01:21:18,C0072,P047,5,24905.73,0,124528.65,0.0,124528.65,93799.05,343.74,1838.5,28547.36,Completed,22.92,Profit,No Discount
O00074,2026-06-30 21:57:39,C0096,P024,3,4338.48,25,13015.44,3253.86,9761.58,10294.89,474.98,125.16,-1133.45,Completed,-11.61,Loss,High Discount
O00075,2026-06-28 15:53:45,C0055,P048,2,4611.21,0,9222.42,0.0,9222.42,7413.44,88.48,130.57,1589.93,Completed,17.24,Profit,No Discount
O00076,2026-06-28 16:46:01,C0019,P036,5,65042.97,10,325214.85,32521.48,292693.36,211818.6,451.7,7712.14,72710.92,Completed,24.84,Profit,Medium Discount
O00077,2026-07-21 08:47:08,C0002,P003,4,10250.36,15,41001.44,6150.22,34851.22,34768.4,205.34,887.89,-1010.41,Completed,-2.9,Loss,Medium Discount
O00078,2026-06-06 12:25:13,C0053,P044,3,14190.49,20,42571.47,8514.29,34057.18,27060.33,393.62,436.01,6167.22,Completed,18.11,Profit,High Discount
O00079,2026-07-05 09:34:54,C0059,P046,1,19668.85,10,19668.85,1966.88,17701.96,14863.55,280.61,439.61,2118.2,Completed,11.97,Profit,Medium Discount
O00080,2026-07-01 17:03:49,C0025,P039,1,35994.24,0,35994.24,0.0,35994.24,22531.52,425.72,1068.6,11968.4,Completed,33.25,Profit,No Discount
O00081,2026-08-01 19:59:51,C0098,P023,5,17155.13,0,85775.65,0.0,85775.65,68083.65,461.43,1059.76,16170.81,Completed,18.85,Profit,No Discount
O00082,2026-08-12 06:21:48,C0038,P034,1,38663.96,10,38663.96,3866.4,34797.56,27849.0,273.86,849.2,5825.5,Completed,16.74,Profit,Medium Discount
O00083,2026-08-02 01:19:55,C0086,P021,3,57718.84,20,173156.52,34631.3,138525.22,136080.18,443.25,3040.39,-1038.6,Completed,-0.75,Loss,High Discount
O00084,2026-07-27 05:22:28,C0053,P007,2,63520.31,20,127040.62,25408.12,101632.5,89524.8,238.45,1795.11,10074.14,Completed,9.91,Profit,High Discount
O00085,2026-06-02 05:52:10,C0064,P002,4,36560.51,25,146242.04,36560.51,109681.53,103235.52,132.97,1294.98,5018.06,Completed,4.58,Profit,High Discount
O00086,2026-07-19 17:41:36,C0029,P021,3,57718.84,5,173156.52,8657.83,164498.69,136080.18,210.05,4010.63,24197.83,Completed,14.71,Profit,Low Discount
O00087,2026-05-25 00:02:52,C0099,P034,5,38663.96,10,193319.8,19331.98,173987.82,139245.0,171.46,3618.4,30952.96,Completed,17.79,Profit,Medium Discount
O00088,2026-06-13 07:43:48,C0081,P045,3,62341.11,5,187023.33,9351.17,177672.16,139290.78,396.91,2155.51,35828.96,Completed,20.17,Profit,Low Discount
O00089,2026-07-05 19:33:00,C0017,P001,1,27812.76,15,27812.76,4171.91,23640.85,21710.86,319.23,453.75,1157.01,Completed,4.89,Profit,Medium Discount
O00090,2026-07-20 05:21:05,C0044,P030,2,3158.31,0,6316.62,0.0,6316.62,4461.2,191.57,165.17,1498.68,Pending,23.73,Profit,No Discount
O00091,2026-07-17 05:19:08,C0017,P010,1,73897.59,10,73897.59,7389.76,66507.83,49346.97,133.31,1385.89,15641.66,Completed,23.52,Profit,Medium Discount
O00092,2026-07-15 21:26:32,C0008,P031,5,16534.23,15,82671.15,12400.67,70270.48,57397.45,375.85,1598.28,10898.9,Pending,15.51,Profit,Medium Discount
O00093,2026-06-18 07:30:18,C0082,P025,4,12111.87,5,48447.48,2422.37,46025.11,30298.92,494.45,1329.26,13902.48,Completed,30.21,Profit,Low Discount
O00094,2026-05-25 20:04:04,C0010,P016,1,6487.76,0,6487.76,0.0,6487.76,5572.99,305.58,183.67,425.52,Completed,6.56,Profit,No Discount
O00095,2026-08-04 05:31:29,C0007,P009,3,19784.64,20,59353.92,11870.78,47483.14,42571.62,486.98,1371.57,3052.97,Completed,6.43,Profit,High Discount
O00096,2026-07-28 16:44:19,C0094,P039,3,35994.24,5,107982.72,5399.14,102583.58,67594.56,423.01,1101.76,33464.25,Completed,32.62,Profit,Low Discount
O00097,2026-06-08 13:44:36,C0099,P044,4,14190.49,10,56761.96,5676.2,51085.76,36080.44,448.25,1052.64,13504.43,Completed,26.43,Profit,Medium Discount
O00098,2026-07-21 02:11:15,C0087,P044,1,14190.49,10,14190.49,1419.05,12771.44,9020.11,347.74,316.18,3087.41,Completed,24.17,Profit,Medium Discount
O00099,2026-06-15 21:47:23,C0042,P044,2,14190.49,0,28380.98,0.0,28380.98,18040.22,441.54,295.88,9603.34,Completed,33.84,Profit,No Discount
O00100,2026-06-07 13:54:38,C0013,P018,3,5164.57,0,15493.71,0.0,15493.71,12100.8,54.27,171.26,3167.38,Completed,20.44,Profit,No Discount
O00101,2026-08-03 01:53:15,C0062,P044,1,14190.49,10,14190.49,1419.05,12771.44,9020.11,172.26,229.45,3349.62,Completed,26.23,Profit,Medium Discount
O00102,2026-06-05 02:27:58,C0084,P005,1,57603.46,5,57603.46,2880.17,54723.29,45484.16,99.71,935.35,8204.07,Completed,14.99,Profit,Low Discount
O00103,2026-05-31 01:49:10,C0068,P018,5,5164.57,0,25822.85,0.0,25822.85,20168.0,58.04,768.34,4828.47,Completed,18.7,Profit,No Discount
O00104,2026-05-19 03:22:31,C0049,P024,4,4338.48,5,17353.92,867.7,16486.22,13726.52,477.48,424.14,1858.08,Completed,11.27,Profit,Low Discount
O00105,2026-05-21 06:08:44,C0070,P039,3,35994.24,20,107982.72,21596.54,86386.18,67594.56,495.13,2148.17,16148.32,Completed,18.69,Profit,High Discount
O00106,2026-06-09 12:59:04,C0072,P020,5,57264.84,10,286324.2,28632.42,257691.78,220936.8,323.48,5219.23,31212.27,Completed,12.11,Profit,Medium Discount
O00107,2026-07-01 21:36:28,C0098,P026,1,3524.72,0,3524.72,0.0,3524.72,2763.64,400.81,59.93,300.34,Completed,8.52,Profit,No Discount
O00108,2026-07-15 02:49:53,C0047,P023,1,17155.13,10,17155.13,1715.51,15439.62,13616.73,318.77,316.52,1187.6,Completed,7.69,Profit,Medium Discount
O00109,2026-08-07 06:29:32,C0035,P050,2,35590.05,15,71180.1,10677.02,60503.09,55460.86,119.25,1592.24,3330.74,Completed,5.51,Profit,Medium Discount
O00110,2026-07-30 09:10:11,C0089,P009,4,19784.64,10,79138.56,7913.86,71224.7,56762.16,91.17,1962.18,12409.19,Completed,17.42,Profit,Medium Discount
O00111,2026-05-23 20:09:43,C0092,P029,1,44167.07,0,44167.07,0.0,44167.07,31749.78,433.49,472.96,11510.84,Completed,26.06,Profit,No Discount
O00112,2026-06-29 23:39:23,C0025,P005,3,57603.46,0,172810.38,0.0,172810.38,136452.48,233.8,3016.19,33107.91,Completed,19.16,Profit,No Discount
O00113,2026-06-26 00:10:39,C0005,P048,2,4611.21,10,9222.42,922.24,8300.18,7413.44,482.95,101.17,302.62,Cancelled,3.65,Profit,Medium Discount
O00114,2026-08-10 19:18:31,C0077,P017,2,42246.44,10,84492.88,8449.29,76043.59,69673.4,266.26,1661.41,4442.52,Completed,5.84,Profit,Medium Discount
O00115,2026-07-16 21:55:10,C0056,P040,2,30510.63,10,61021.26,6102.13,54919.13,49591.82,439.02,1355.31,3532.98,Completed,6.43,Profit,Medium Discount
O00116,2026-07-11 15:52:13,C0080,P040,4,30510.63,20,122042.52,24408.5,97634.02,99183.64,440.28,2359.55,-4349.45,Completed,-4.45,Loss,High Discount
O00117,2026-06-04 15:31:36,C0089,P042,4,60982.04,10,243928.16,24392.82,219535.34,181294.88,388.72,2891.74,34960.0,Cancelled,15.92,Profit,Medium Discount
O00118,2026-07-25 12:19:38,C0058,P031,2,16534.23,0,33068.46,0.0,33068.46,22958.98,200.8,822.42,9086.26,Completed,27.48,Profit,No Discount
O00119,2026-07-23 09:04:58,C0100,P002,5,36560.51,10,182802.55,18280.26,164522.3,129044.4,52.87,2589.71,32835.32,Completed,19.96,Profit,Medium Discount
O00120,2026-06-23 01:11:40,C0017,P040,2,30510.63,10,61021.26,6102.13,54919.13,49591.82,292.99,1405.76,3628.56,Completed,6.61,Profit,Medium Discount
O00121,2026-07-03 18:26:32,C0030,P007,2,63520.31,10,127040.62,12704.06,114336.56,89524.8,428.05,2040.11,22343.6,Completed,19.54,Profit,Medium Discount
O00122,2026-06-24 13:43:07,C0037,P029,4,44167.07,0,176668.28,0.0,176668.28,126999.12,396.88,5113.83,44158.45,Completed,25.0,Profit,No Discount
O00123,2026-06-09 10:59:05,C0012,P022,1,753.69,10,753.69,75.37,678.32,546.22,205.65,15.21,-88.76,Completed,-13.09,Loss,Medium Discount
O00124,2026-05-31 02:19:34,C0050,P014,5,9054.92,10,45274.6,4527.46,40747.14,30778.95,341.41,891.87,8734.91,Completed,21.44,Profit,Medium Discount
O00125,2026-07-19 11:11:09,C0029,P011,1,53636.0,5,53636.0,2681.8,50954.2,35624.83,269.89,1294.65,13764.83,Completed,27.01,Profit,Low Discount
O00126,2026-07-22 12:44:10,C0026,P034,2,38663.96,25,77327.92,19331.98,57995.94,55698.0,241.78,1103.53,952.63,Completed,1.64,Profit,High Discount
O00127,2026-05-17 07:22:49,C0029,P029,3,44167.07,5,132501.21,6625.06,125876.15,95249.34,87.07,2971.93,27567.81,Completed,21.9,Profit,Low Discount
O00128,2026-08-11 10:30:29,C0027,P003,1,10250.36,25,10250.36,2562.59,7687.77,8692.1,64.09,189.31,-1257.73,Cancelled,-16.36,Loss,High Discount
O00129,2026-07-28 16:20:02,C0059,P020,3,57264.84,5,171794.52,8589.73,163204.79,132562.08,492.79,2968.15,27181.77,Cancelled,16.66,Profit,Low Discount
O00130,2026-08-08 07:25:54,C0015,P034,5,38663.96,5,193319.8,9665.99,183653.81,139245.0,440.66,4462.51,39505.64,Completed,21.51,Profit,Low Discount
O00131,2026-07-30 12:47:51,C0080,P027,4,10161.47,0,40645.88,0.0,40645.88,29663.04,440.88,1037.77,9504.19,Completed,23.38,Profit,No Discount
O00132,2026-08-10 17:44:36,C0046,P050,4,35590.05,0,142360.2,0.0,142360.2,110921.72,408.56,2261.16,28768.76,Cancelled,20.21,Profit,No Discount
O00133,2026-05-27 02:49:35,C0003,P020,1,57264.84,0,57264.84,0.0,57264.84,44187.36,319.25,1268.19,11490.04,Completed,20.06,Profit,No Discount
O00134,2026-07-31 08:18:39,C0009,P038,1,7609.77,0,7609.77,0.0,7609.77,5253.28,343.18,125.7,1887.61,Completed,24.81,Profit,No Discount
O00135,2026-06-27 01:07:20,C0072,P011,5,53636.0,0,268180.0,0.0,268180.0,178124.15,259.07,6331.5,83465.28,Completed,31.12,Profit,No Discount
O00136,2026-06-07 00:23:48,C0095,P038,3,7609.77,15,22829.31,3424.4,19404.91,15759.84,437.06,496.71,2711.3,Completed,13.97,Profit,Medium Discount
O00137,2026-06-02 20:18:20,C0086,P024,1,4338.48,5,4338.48,216.92,4121.56,3431.63,494.0,52.96,142.97,Completed,3.47,Profit,Low Discount
O00138,2026-08-02 20:10:18,C0086,P028,4,23427.95,5,93711.8,4685.59,89026.21,74435.16,399.11,2566.16,11625.78,Completed,13.06,Profit,Low Discount
O00139,2026-07-23 08:03:07,C0097,P033,1,39743.89,5,39743.89,1987.19,37756.7,27164.11,64.94,436.9,10090.75,Completed,26.73,Profit,Low Discount
O00140,2026-07-06 01:23:20,C0066,P038,2,7609.77,15,15219.54,2282.93,12936.61,10506.56,410.26,181.15,1838.64,Completed,14.21,Profit,Medium Discount
O00141,2026-06-30 20:56:22,C0049,P040,3,30510.63,0,91531.89,0.0,91531.89,74387.73,453.3,2004.14,14686.72,Completed,16.05,Profit,No Discount
O00142,2026-05-21 15:28:38,C0095,P032,1,39676.81,15,39676.81,5951.52,33725.29,25984.02,441.94,818.91,6480.42,Completed,19.22,Profit,Medium Discount
O00143,2026-07-09 21:18:34,C0062,P047,3,24905.73,10,74717.19,7471.72,67245.47,56279.43,347.37,1416.19,9202.48,Completed,13.68,Profit,Medium Discount
O00144,2026-06-09 23:08:02,C0022,P026,3,3524.72,0,10574.16,0.0,10574.16,8290.92,123.8,198.5,1960.94,Completed,18.54,Profit,No Discount
O00145,2026-08-13 20:19:12,C0012,P023,4,17155.13,0,68620.52,0.0,68620.52,54466.92,442.3,987.06,12724.24,Pending,18.54,Profit,No Discount
O00146,2026-08-07 03:13:37,C0100,P045,5,62341.11,15,311705.55,46755.83,264949.72,232151.3,346.42,5289.43,27162.57,Completed,10.25,Profit,Medium Discount
O00147,2026-05-28 13:14:45,C0018,P019,5,58038.98,25,290194.9,72548.73,217646.18,202221.95,488.66,5007.28,9928.29,Completed,4.56,Profit,High Discount
O00148,2026-06-30 02:05:35,C0035,P029,1,44167.07,15,44167.07,6625.06,37542.01,31749.78,128.39,1096.81,4567.03,Completed,12.17,Profit,Medium Discount
O00149,2026-05-29 17:09:45,C0024,P020,5,57264.84,5,286324.2,14316.21,272007.99,220936.8,216.97,8093.05,42761.17,Completed,15.72,Profit,Low Discount
O00150,2026-08-02 13:53:45,C0049,P032,1,39676.81,10,39676.81,3967.68,35709.13,25984.02,376.37,704.66,8644.08,Completed,24.21,Profit,Medium Discount
O00151,2026-06-30 21:09:25,C0034,P036,2,65042.97,25,130085.94,32521.48,97564.46,84727.44,177.73,1676.45,10982.84,Completed,11.26,Profit,High Discount
O00152,2026-07-20 14:01:43,C0018,P040,5,30510.63,15,152553.15,22882.97,129670.18,123979.55,109.21,3153.12,2428.3,Cancelled,1.87,Profit,Medium Discount
O00153,2026-07-07 08:05:13,C0087,P042,4,60982.04,5,243928.16,12196.41,231731.75,181294.88,280.68,4231.57,45924.62,Completed,19.82,Profit,Low Discount
O00154,2026-07-10 00:51:01,C0041,P047,1,24905.73,15,24905.73,3735.86,21169.87,18759.81,92.87,487.81,1829.38,Completed,8.64,Profit,Medium Discount
O00155,2026-07-13 13:57:52,C0028,P002,3,36560.51,15,109681.53,16452.23,93229.3,77426.64,196.34,2374.5,13231.82,Completed,14.19,Profit,Medium Discount
O00156,2026-06-16 13:49:04,C0045,P023,3,17155.13,20,51465.39,10293.08,41172.31,40850.19,248.91,684.19,-610.98,Completed,-1.48,Loss,High Discount
O00157,2026-07-29 02:19:12,C0076,P030,1,3158.31,10,3158.31,315.83,2842.48,2230.6,161.92,63.51,386.45,Completed,13.6,Profit,Medium Discount
O00158,2026-08-11 07:37:58,C0064,P020,4,57264.84,0,229059.36,0.0,229059.36,176749.44,381.38,5331.61,46596.93,Completed,20.34,Profit,No Discount
O00159,2026-06-28 17:43:50,C0044,P028,4,23427.95,10,93711.8,9371.18,84340.62,74435.16,65.38,2507.77,7332.31,Completed,8.69,Profit,Medium Discount
O00160,2026-07-15 06:02:36,C0037,P020,2,57264.84,0,114529.68,0.0,114529.68,88374.72,104.95,2181.1,23868.91,Cancelled,20.84,Profit,No Discount
O00161,2026-08-03 21:33:46,C0069,P033,1,39743.89,10,39743.89,3974.39,35769.5,27164.11,359.69,641.98,7603.72,Completed,21.26,Profit,Medium Discount
O00162,2026-07-25 14:29:23,C0043,P034,1,38663.96,10,38663.96,3866.4,34797.56,27849.0,440.56,664.45,5843.55,Completed,16.79,Profit,Medium Discount
O00163,2026-08-11 09:01:04,C0050,P023,4,17155.13,10,68620.52,6862.05,61758.47,54466.92,106.58,781.51,6403.46,Completed,10.37,Profit,Medium Discount
