return_id,order_id,product_id,return_reason,refund_amount,return_date
R0071,O00455,P042,Wrong Size,97571.26,2026-07-26 16:06:52
R0072,O00461,P042,Quality Issue,231731.75,2026-08-02 21:10:23
R0073,O00488,P038,Changed Mind,12936.61,2026-06-18 12:56:37
R0074,O00490,P045,Wrong Size,177672.16,2026-06-20 03:39:10
R0075,O00504,P017,Late Delivery,135188.61,2026-07-12 18:43:29
R0076,O00508,P030,Wrong Size,15791.55,2026-08-10 13:52:23
R0077,O00525,P049,Damaged,63529.07,2026-06-05 04:31:10
R0078,O00542,P046,Changed Mind,50155.57,2026-07-07 12:49:37
R0079,O00545,P026,Changed Mind,11984.05,2026-06-04 18:10:36
R0080,O00573,P006,Wrong Size,40055.5,2026-08-01 19:28:46
R0081,O00579,P035,Wrong Product,207207.05,2026-08-31 23:25:44
R0082,O00583,P026,Damaged,9516.74,2026-07-23 21:49:23
R0083,O00586,P023,Late Delivery,29163.72,2026-07-23 23:27:46
R0084,O00593,P042,Quality Issue,182946.12,2026-06-23 22:38:28
R0085,O00596,P001,Late Delivery,75094.45,2026-06-14 11:07:49
R0086,O00597,P017,Damaged,38021.8,2026-07-29 21:22:09
R0087,O00604,P048,Damaged,16600.36,2026-06-18 23:12:27
R0088,O00617,P002,Wrong Size,146242.04,2026-08-10 00:32:24
R0089,O00619,P019,Late Delivery,156705.25,2026-07-10 20:25:47
R0090,O00637,P030,Wrong Product,8053.69,2026-06-19 05:37:50
R0091,O00647,P015,Changed Mind,264796.15,2026-07-31 13:00:48
R0092,O00657,P013,Late Delivery,242879.0,2026-06-27 07:02:38
R0093,O00663,P045,Changed Mind,211959.77,2026-07-15 17:05:11
R0094,O00664,P006,Wrong Size,37830.19,2026-07-08 06:30:44
R0095,O00666,P047,Quality Issue,70981.33,2026-07-16 19:59:12
R0096,O00671,P045,Wrong Size,149618.66,2026-06-26 01:31:26
R0097,O00679,P048,Damaged,4611.21,2026-08-15 07:36:35
R0098,O00680,P013,Damaged,184588.04,2026-07-24 14:46:16
R0099,O00689,P017,Wrong Size,114065.39,2026-08-11 20:37:59
R0100,O00693,P038,Quality Issue,30439.08,2026-07-23 03:44:01
R0101,O00694,P036,Damaged,292693.36,2026-07-30 00:35:14
R0102,O00710,P030,Wrong Size,5684.96,2026-08-01 19:59:04
R0103,O00711,P040,Late Delivery,54919.13,2026-05-30 22:11:44
R0104,O00734,P002,Wrong Product,34732.48,2026-07-17 17:33:23
R0105,O00744,P043,Wrong Product,30462.15,2026-07-24 02:30:41
R0106,O00745,P003,Damaged,36901.3,2026-07-09 21:28:02
R0107,O00760,P042,Changed Mind,219535.34,2026-08-04 13:30:02
R0108,O00761,P030,Quality Issue,10106.59,2026-07-20 19:55:14
R0109,O00768,P050,Quality Issue,160155.22,2026-08-08 16:22:26
R0110,O00770,P040,Wrong Size,28985.1,2026-06-18 22:33:38
R0111,O00772,P026,Wrong Size,16742.42,2026-05-22 02:19:26
R0112,O00779,P023,Late Delivery,48892.12,2026-06-12 18:50:37
R0113,O00791,P047,Quality Issue,67245.47,2026-07-10 02:37:22
R0114,O00805,P033,Wrong Size,35769.5,2026-08-19 03:26:20
R0115,O00808,P019,Wrong Product,87058.47,2026-05-27 13:07:46
R0116,O00809,P036,Damaged,165859.57,2026-06-19 14:09:48
R0117,O00813,P015,Quality Issue,201245.07,2026-07-12 01:20:46
R0118,O00817,P018,Changed Mind,18592.45,2026-06-15 17:01:03
R0119,O00836,P007,Late Delivery,57168.28,2026-08-05 20:04:56
R0120,O00854,P021,Changed Mind,207787.82,2026-07-08 16:34:29
R0121,O00863,P041,Quality Issue,86645.15,2026-07-30 01:46:28
R0122,O00865,P017,Quality Issue,120402.35,2026-07-20 20:39:34
R0123,O00882,P004,Late Delivery,935.84,2026-06-18 18:22:00
R0124,O00888,P025,Wrong Product,21801.37,2026-07-08 08:27:09
R0125,O00889,P003,Quality Issue,18450.65,2026-08-05 15:32:46
R0126,O00890,P042,Changed Mind,219535.34,2026-06-21 12:00:29
R0127,O00897,P050,Wrong Size,160155.22,2026-08-16 11:13:02
R0128,O00915,P005,Late Delivery,207372.46,2026-06-20 13:30:52
R0129,O00926,P039,Damaged,152975.52,2026-07-20 07:11:59
R0130,O00928,P020,Wrong Product,57264.84,2026-08-19 11:43:02
R0131,O00932,P020,Changed Mind,48675.11,2026-08-04 03:36:00
R0132,O00958,P014,Wrong Size,32597.71,2026-08-01 22:29:24
R0133,O00972,P026,Changed Mind,3524.72,2026-05-21 16:21:28
R0134,O00973,P031,Late Delivery,42162.29,2026-08-19 01:04:08
R0135,O00984,P041,Changed Mind,135913.96,2026-07-20 19:36:05
